movie_id,budget,popularity,release_date,revenue,runtime,title,genre_Action,genre_Adventure,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_Other,genre_Romance,genre_Science Fiction,genre_Thriller,award_season,summer_blockbuster,winter_low_season,likely_sequel,director,num_prev_films_by_director,production_company_Columbia Pictures,production_company_Metro-Goldwyn-Mayer (MGM),production_company_New Line Cinema,production_company_Other,production_company_Paramount Pictures,production_company_Relativity Media,production_company_Touchstone Pictures,production_company_Twentieth Century Fox Film Corporation,production_company_Universal Pictures,production_company_Walt Disney Pictures,production_company_Warner Bros.,lead_actor,second_actor,third_actor
277685,1000000,41.972329,2015-04-17,62882090,82.0,Unfriended,0,0,0,0,0,0,0,1,0,0,1,False,False,True,False,Levan Gabriadze,0,0,0,0,1,0,0,0,0,0,0,0,Shelley Hennig,Moses Jacob Storm,Renee Olstead
667,9500000,28.675891,1967-06-12,111584787,117.0,You Only Live Twice,1,1,0,0,0,0,0,0,0,0,1,False,True,False,False,Lewis Gilbert,0,0,0,0,1,0,0,0,0,0,0,0,Sean Connery,Akiko Wakabayashi,Karin Dor
691,14000000,27.17347,1977-07-07,185438673,125.0,The Spy Who Loved Me,1,1,0,0,0,0,0,0,0,0,1,False,True,False,False,Lewis Gilbert,1,0,0,0,1,0,0,0,0,0,0,0,Roger Moore,Barbara Bach,Curd Jürgens
698,34000000,29.887404,1979-06-26,210308099,126.0,Moonraker,1,1,0,0,0,0,0,0,0,1,1,False,True,False,False,Lewis Gilbert,2,0,0,0,1,0,0,0,0,0,0,0,Roger Moore,Lois Chiles,Michael Lonsdale
13056,20500000,17.112498,2008-12-05,10089373,102.0,Punisher: War Zone,1,0,0,1,0,0,0,0,0,0,0,True,False,False,False,Lexi Alexander,0,0,0,0,1,0,0,0,0,0,0,0,Ray Stevenson,Dominic West,Julie Benz
173931,19000000,0.738652,2011-01-01,2570000,89.0,Legend of a Rabbit,1,1,1,0,0,1,0,1,0,0,0,False,False,True,False,Lijun Sun,0,0,0,0,0,0,0,0,0,0,0,0,Jon Heder,Tom Arnold,Michael Clarke Duncan
9303,4500000,15.359952,1996-09-13,7011317,108.0,Bound,0,0,0,1,1,0,0,0,1,0,1,True,False,False,False,Lilly Wachowski,0,0,0,0,1,0,0,0,0,0,0,0,Jennifer Tilly,Gina Gershon,Joe Pantoliano
603,63000000,104.309993,1999-03-30,463517383,136.0,The Matrix,1,0,0,0,0,0,0,0,0,1,0,False,False,True,False,Lilly Wachowski,1,0,0,0,1,0,0,0,0,0,0,1,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss
604,150000000,70.78591,2003-05-15,738599701,138.0,The Matrix Reloaded,1,1,0,0,0,0,0,0,0,1,1,False,True,False,False,Lilly Wachowski,2,0,0,0,1,0,0,0,0,0,0,1,Keanu Reeves,Carrie-Anne Moss,Laurence Fishburne
605,150000000,73.313918,2003-11-05,424988211,129.0,The Matrix Revolutions,1,1,0,0,0,0,0,0,0,1,1,True,False,False,False,Lilly Wachowski,3,0,0,0,1,0,0,0,0,0,0,1,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss
7459,120000000,17.060695,2008-05-09,93945766,135.0,Speed Racer,1,0,0,0,0,1,0,0,0,1,0,False,True,False,False,Lilly Wachowski,4,0,0,0,1,0,0,0,0,0,0,1,Emile Hirsch,Christina Ricci,Matthew Fox
76757,176000003,85.36908,2015-02-04,183987723,124.0,Jupiter Ascending,1,1,0,0,0,0,1,0,0,1,0,False,False,True,False,Lilly Wachowski,5,0,0,0,1,0,0,0,0,0,0,1,Mila Kunis,Channing Tatum,Sean Bean
24621,0,1.118511,2003-04-16,6126237,80.0,Chasing Papi,0,0,1,0,0,0,0,0,1,0,0,False,False,True,False,Linda Mendoza,0,0,0,0,1,0,0,0,0,0,0,0,Roselyn Sánchez,Sofía Vergara,Jaci Velasquez
28353,0,1.20245,1997-08-06,13960203,93.0,Def Jam's How to Be a Player,0,0,1,0,0,0,0,0,1,0,0,False,True,False,False,Lionel C. Martin,0,0,0,0,1,0,0,0,0,0,0,0,Bill Bellamy,Lark Voorhies,Bernie Mac
39781,3500000,15.338211,2010-07-09,34705850,106.0,The Kids Are All Right,0,0,1,0,1,0,0,0,0,0,0,False,True,False,False,Lisa Cholodenko,0,0,0,0,1,0,0,0,0,0,0,0,Julianne Moore,Annette Bening,Mark Ruffalo
230266,5500000,5.033065,2014-09-07,5000000,120.0,Miss Julie,0,0,0,0,1,0,0,0,0,0,0,True,False,False,False,Liv Ullmann,0,0,0,0,1,0,0,0,0,0,0,0,Jessica Chastain,Colin Farrell,Samantha Morton
12763,30000000,8.999675,2006-03-17,34742066,108.0,Take the Lead,0,0,0,0,0,0,0,1,0,0,0,False,False,True,False,Liz Friedlander,0,0,0,1,1,0,0,0,0,0,0,0,Antonio Banderas,Rob Brown,Yaya DaCosta
3062,439000,1.933366,1933-02-02,2281000,89.0,42nd Street,0,0,1,0,0,0,0,1,1,0,0,False,False,True,False,Lloyd Bacon,0,0,0,0,0,0,0,0,0,0,0,1,Warner Baxter,Bebe Daniels,George Brent
24684,7500000,16.990308,2009-10-29,26096852,100.0,An Education,0,0,0,0,1,0,0,0,1,0,0,True,False,False,False,Lone Scherfig,0,0,0,0,1,0,0,0,0,0,0,0,Carey Mulligan,Olivia Williams,Peter Sarsgaard
51828,15000000,16.629173,2011-03-02,59389433,107.0,One Day,0,0,0,0,1,0,0,0,1,0,0,False,False,True,False,Lone Scherfig,1,0,0,0,1,0,0,0,0,0,0,0,Anne Hathaway,Jim Sturgess,Patricia Clarkson
88005,10000000,30.863082,2012-06-22,9636289,101.0,Seeking a Friend for the End of the World,0,0,1,0,1,0,0,0,1,1,0,False,True,False,False,Lorene Scafaria,0,0,0,0,1,0,0,0,0,0,0,0,Steve Carell,Keira Knightley,Connie Britton
4108,21000000,34.433521,2002-10-02,43928932,92.0,The Transporter,1,0,0,1,0,0,0,0,0,0,1,True,False,False,False,Louis Leterrier,0,0,0,0,1,0,0,0,0,0,0,0,Jason Statham,Shu Qi,François Berléand
10027,45000000,25.999888,2005-02-02,50871113,103.0,Unleashed,1,0,0,1,0,0,0,0,0,0,0,False,False,True,False,Louis Leterrier,1,0,0,0,1,0,0,0,0,0,0,0,Jet Li,Morgan Freeman,Bob Hoskins
9335,32000000,47.5612,2005-08-02,85167639,87.0,Transporter 2,1,0,0,1,0,0,0,0,0,0,1,False,True,False,True,Louis Leterrier,2,0,0,0,1,0,0,0,1,0,0,0,Jason Statham,Amber Valletta,Kate Nauta
1724,150000000,62.898336,2008-06-12,163712074,114.0,The Incredible Hulk,1,1,0,0,0,0,0,0,0,1,0,False,True,False,False,Louis Leterrier,3,0,0,0,1,0,0,0,0,1,0,0,Edward Norton,Liv Tyler,Tim Roth
18823,125000000,47.686442,2010-04-01,232713139,106.0,Clash of the Titans,1,1,0,0,0,0,1,0,0,0,0,False,False,True,False,Louis Leterrier,4,0,0,0,1,0,0,0,0,0,0,1,Sam Worthington,Liam Neeson,Ralph Fiennes
75656,75000000,71.124686,2013-05-29,117698894,115.0,Now You See Me,0,0,0,1,0,0,0,0,0,0,1,False,True,False,False,Louis Leterrier,5,0,0,0,1,0,0,0,0,0,0,0,Jesse Eisenberg,Mark Ruffalo,Woody Harrelson
43595,200000,0.622752,1933-02-09,2200000,66.0,She Done Him Wrong,0,0,1,0,0,0,0,0,0,0,0,False,False,True,False,Lowell Sherman,0,0,0,0,0,1,0,0,0,0,0,0,Mae West,Cary Grant,Owen Moore
21345,12000000,4.793348,2009-04-22,10652498,132.0,City of Life and Death,0,0,0,0,1,0,0,1,0,0,0,False,False,True,False,Lu Chuan,0,0,0,0,1,0,0,0,0,0,0,0,Liu Ye,Gao Yuanyuan,Hideo Nakaizumi
10656,2000000,5.261065,1985-04-10,390659,104.0,Subway,1,0,0,0,0,0,0,0,0,0,1,False,False,True,False,Luc Besson,0,0,0,0,1,0,0,0,0,0,0,0,Isabelle Adjani,Christopher Lambert,Richard Bohringer
18,90000000,109.528572,1997-05-07,263920180,126.0,The Fifth Element,1,1,0,0,0,0,1,0,0,1,1,False,True,False,False,Luc Besson,1,1,0,0,1,0,0,0,0,0,0,0,Bruce Willis,Gary Oldman,Ian Holm
10047,60000000,21.084542,1999-10-18,66976317,148.0,The Messenger: The Story of Joan of Arc,1,1,0,0,1,0,0,1,0,0,0,True,False,False,False,Luc Besson,2,1,0,0,1,0,0,0,0,0,0,0,Milla Jovovich,Dustin Hoffman,Faye Dunaway
9992,86000000,27.097932,2006-12-13,107944236,94.0,Arthur and the Invisibles,0,1,0,0,0,1,1,1,0,0,0,True,False,False,False,Luc Besson,3,0,0,0,1,0,0,0,0,0,0,0,Freddie Highmore,Mia Farrow,Ron Crawford
240832,40000000,115.241998,2014-07-14,126546825,89.0,Lucy,1,0,0,0,0,0,0,0,0,1,0,False,True,False,False,Luc Besson,4,0,0,0,1,0,0,0,0,1,0,0,Scarlett Johansson,Morgan Freeman,Choi Min-sik
1667,8000000,17.537154,2005-01-26,127392239,80.0,March of the Penguins,0,0,0,0,0,1,0,1,0,0,0,False,False,True,False,Luc Jacquet,0,0,0,0,1,0,0,0,0,0,0,0,Morgan Freeman,Charles Berling,Romane Bohringer
10894,500000,8.650779,2002-01-13,150277,93.0,May,0,0,0,0,1,0,0,1,1,0,1,False,False,True,False,Lucky McKee,0,0,0,0,1,0,0,0,0,0,0,0,Angela Bettis,Jeremy Sisto,Anna Faris
2636,45000000,16.582709,1994-10-07,170362582,110.0,The Specialist,1,0,0,0,0,0,0,0,0,0,1,True,False,False,False,Luis Llosa,0,0,0,0,1,0,0,0,0,0,0,1,Sylvester Stallone,Sharon Stone,James Woods
9360,45000000,27.684779,1997-04-11,136885767,89.0,Anaconda,0,1,0,0,0,0,0,1,0,0,1,False,False,True,False,Luis Llosa,1,0,0,0,1,0,0,0,0,0,0,0,Jennifer Lopez,Ice Cube,Jon Voight
10207,80000000,10.81051,1999-02-22,118880016,131.0,Message in a Bottle,0,0,0,0,1,0,0,0,1,0,0,False,False,True,False,Luis Mandoki,0,0,0,0,1,0,0,0,0,0,0,0,Kevin Costner,Robin Wright,Paul Newman
5852,53000000,6.454634,2001-05-15,29700000,102.0,Angel Eyes,0,0,0,0,1,0,0,0,1,0,1,False,True,False,False,Luis Mandoki,1,0,0,0,1,0,0,0,0,0,0,0,Jennifer Lopez,Jim Caviezel,Jeremy Sisto
16620,6500000,6.847099,1987-07-24,54215416,108.0,La Bamba,0,0,0,0,1,0,0,1,0,0,0,False,True,False,False,Luis Valdez,0,0,0,0,1,0,0,0,0,0,0,0,Lou Diamond Phillips,Danielle von Zerneck,Elizabeth Peña
11090,22000000,13.786075,2001-06-01,84772742,84.0,The Animal,1,0,1,0,0,0,0,0,0,0,0,False,True,False,False,Luke Greenfield,0,0,0,0,1,0,0,0,0,0,0,0,Rob Schneider,Colleen Haskell,John C. McGinley
10591,25000000,39.784026,2004-04-09,30411183,108.0,The Girl Next Door,0,0,1,0,0,0,0,0,0,0,0,False,False,True,False,Luke Greenfield,1,0,0,0,1,0,0,0,0,0,0,0,Emile Hirsch,Elisha Cuthbert,Timothy Olyphant
